,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
454,0.151057398,0.56497034,0.029271925,0.013233695,0.15432717680059227,0.5710356261382401,0.03646921733439612,0.019988382910781866
466,0.118971953,0.035890786,-1.053097925,-0.930510122,0.17119262036089822,0.13590756956325833,-0.7241321773619802,-0.6504874982862248
476,0.00201021,0.0,0.010637959,0.050307716,0.018171294045854935,0.031094826107064932,0.05372602706863461,0.06436535145367372
480,0.013753514,0.0,-0.012880662,0.017459029,0.02133751204530654,0.011483113432760206,-0.0455112176090883,-0.030734995682792032
494,0.258752116,0.210512886,-0.023262057,-0.025301866,0.2679197037077614,0.2191224769111102,0.017140954030392924,0.012075725092557832
506,0.010379938,0.269165246,-0.034487218,-0.027192972,0.025336234120722168,0.2609097150408388,-0.009453924925242774,-0.008302000839762513
518,0.035203679,0.184514989,-0.073059739,-0.085888711,0.01775555072614665,0.1694421832642803,-0.07265053980888503,-0.0530508943188579
525,0.318131937,0.0,-0.174218236,-0.182351171,0.3397177994277545,0.020757261556411777,-0.22350958531312318,-0.22254033320592725
539,0.359938259,0.184913111,-0.27326157,-0.270993438,0.3482841646887067,0.17544408944709033,-0.2543277368784399,-0.25068967306856393
549,0.109815472,0.262634542,-0.045154233,-0.018430693,0.10835180581449322,0.25497405911596616,-0.025575392740043862,-0.007880387715260895
562,0.189685117,0.12161668,0.058107691,0.042560274,0.15018860569711023,0.10083662349172329,-0.007319083886685007,-0.010844288461655083
576,0.077785303,0.205336146,0.010857167,0.014213531,0.08376128864997945,0.20270350751152932,0.017981617041681636,0.026740800390342656
592,0.0,0.0,-0.233829788,-0.226228195,0.03023596617089197,0.018244327167849406,-0.2717412989983633,-0.278395897586762
608,0.315827532,0.467697001,0.00759784,0.004422932,0.2948990171955188,0.44502264702205707,0.014918253909777857,0.009796751759466815
621,0.045909498,0.124205464,0.130521337,0.112633132,0.03397283819060348,0.08840451365883695,0.07120964855722889,0.062069559370982574
640,0.099471721,0.133224773,-0.079920555,-0.0692265,0.0946906404302581,0.12583622166485497,-0.018124563603168747,-0.02085670170930598
663,0.0,0.0,-0.023965988,-0.023977822,0.01679824749310299,0.01241560897943117,-0.018306410337459056,-0.015003666102458624
