,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
480,0.013753514,0.0,-0.012880662,0.017459029,0.030163641888957926,0.02248389248449989,-0.03765030352272447,-0.020063600329081055
494,0.258752116,0.210512886,-0.023262057,-0.025301866,0.2657332119571798,0.22537112920980462,0.013620713226341508,0.008726010776689108
506,0.010379938,0.269165246,-0.034487218,-0.027192972,0.02403740394424858,0.26394923775714574,-0.0016835756721604866,-0.002117552124445865
518,0.035203679,0.184514989,-0.073059739,-0.085888711,0.03389750709106565,0.17388640165648894,-0.10548739478053903,-0.08853892686386189
539,0.359938259,0.184913111,-0.27326157,-0.270993438,0.3514339097135064,0.1892922193924278,-0.23513522757690453,-0.2284993959425492
549,0.109815472,0.262634542,-0.045154233,-0.018430693,0.1016180710539345,0.24591213901123865,-0.035801531952415644,-0.019753680644491567
562,0.189685117,0.12161668,0.058107691,0.042560274,0.1637692078733224,0.11631737109166806,0.0047664311377104696,0.00018990582478295437
576,0.077785303,0.205336146,0.010857167,0.014213531,0.08321329149066159,0.2079488695366365,0.020208679472229818,0.02558003171356482
592,0.0,0.0,-0.233829788,-0.226228195,0.04594254332060288,0.037533217001396224,-0.2995795192347259,-0.3113873849586639
608,0.315827532,0.467697001,0.00759784,0.004422932,0.3005280520793945,0.44641249538673833,0.026030498875424968,0.015585670379666183
621,0.045909498,0.124205464,0.130521337,0.112633132,0.030543978074426548,0.10180844497179464,0.0784646109680125,0.07062857619669671
640,0.099471721,0.133224773,-0.079920555,-0.0692265,0.10061872103952041,0.12301586801399189,-0.014785199946942384,-0.018307389435165078
663,0.0,0.0,-0.023965988,-0.023977822,0.02199204027811419,0.013811476761377506,-0.01792350240341989,-0.02000177966644401
683,0.073135045,0.063311052,-0.024735848,-0.020511075,0.0686608520363663,0.05806943246237495,0.009853404944720978,0.011740066966495988
698,0.421615727,0.247672681,-0.01108427,-0.015729093,0.43455622899557866,0.25075201815588954,-0.019498520671991315,-0.027498149911814096
712,0.492822978,0.433890167,-0.128765557,-0.104793319,0.497569717410522,0.42035293189551837,-0.13350234890308244,-0.1092341532041683
725,1.0,1.0,0.019340778,0.012833895,1.0056792476135001,0.9131867948547665,-0.005406805189437591,-0.019142516859362857
