iter	Passed	Remaining
665	11089	2231
666	11103	2214
667	11118	2197
668	11134	2180
669	11154	2164
670	11172	2147
671	11187	2130
672	11205	2114
673	11221	2097
674	11238	2081
675	11255	2064
676	11270	2047
677	11287	2031
678	11300	2013
679	11317	1997
680	11337	1981
681	11354	1964
682	11374	1948
683	11390	1931
684	11413	1916
685	11434	1900
686	11449	1883
687	11466	1866
688	11480	1849
689	11498	1833
690	11517	1816
691	11535	1800
692	11551	1783
693	11571	1767
694	11586	1750
695	11608	1734
696	11624	1717
697	11645	1701
698	11663	1685
699	11682	1668
700	11699	1652
701	11716	1635
702	11731	1618
703	11753	1602
704	11768	1585
705	11784	1569
706	11799	1552
707	11818	1535
708	11834	1518
709	11854	1502
710	11869	1485
711	11884	1468
712	11899	1451
713	11914	1435
714	11930	1418
715	11944	1401
716	11960	1384
717	11980	1368
718	11998	1351
719	12017	1335
720	12034	1318
721	12053	1302
722	12073	1285
723	12087	1268
724	12107	1252
725	12122	1235
726	12140	1219
727	12158	1202
728	12175	1185
729	12196	1169
730	12218	1153
731	12239	1137
732	12254	1120
733	12267	1103
734	12283	1086
735	12298	1069
736	12315	1052
737	12330	1035
738	12347	1019
739	12366	1002
740	12380	985
741	12395	968
742	12410	952
743	12425	935
744	12441	918
745	12461	902
746	12475	885
747	12491	868
748	12506	851
749	12527	835
750	12542	818
751	12557	801
752	12573	784
753	12588	768
754	12604	751
755	12623	734
756	12642	718
757	12658	701
758	12676	684
759	12692	668
760	12709	651
761	12728	634
762	12748	618
763	12765	601
764	12780	584
765	12793	567
766	12814	551
767	12831	534
768	12846	517
769	12860	501
770	12879	484
771	12895	467
772	12910	450
773	12924	434
774	12942	417
775	12960	400
776	12975	384
777	12991	367
778	13017	350
779	13034	334
780	13052	317
781	13068	300
782	13083	284
783	13101	267
784	13120	250
785	13138	234
786	13153	217
787	13172	200
788	13186	183
789	13199	167
790	13214	150
791	13230	133
792	13248	116
793	13261	100
794	13275	83
795	13289	66
796	13304	50
797	13320	33
798	13337	16
799	13351	0
